//I2C bus data for selecting page 0 and writing "AA" to it

Time [s], Analyzer Name, Decoded Protocol Result
0.330953041666667,I2C,Setup Write to [0x3C] + ACK
0.331206541666667,I2C,0x00 + ACK
0.331452000000000,I2C,0xB0 + ACK // page numbere
0.332319791666667,I2C,Setup Write to [0x3C] + ACK
0.332573250000000,I2C,0x00 + ACK
0.332818750000000,I2C,0x00 + ACK //high col 
0.333686416666667,I2C,Setup Write to [0x3C] + ACK
0.333939875000000,I2C,0x00 + ACK
0.334185333333333,I2C,0x10 + ACK //low col
0.335295541666667,I2C,Setup Write to [0x3C] + ACK
0.335549041666667,I2C,0x40 + ACK
0.335794583333333,I2C,0x7E + ACK  // data for A {0x7e, 0x11, 0x11, 0x11, 0x7e} // 41 A
0.336870791666667,I2C,Setup Write to [0x3C] + ACK
0.337124250000000,I2C,0x40 + ACK
0.337369708333333,I2C,0x11 + ACK
0.338445791666667,I2C,Setup Write to [0x3C] + ACK
0.338699250000000,I2C,0x40 + ACK
0.338944708333333,I2C,0x11 + ACK
0.340020791666667,I2C,Setup Write to [0x3C] + ACK
0.340274250000000,I2C,0x40 + ACK
0.340519708333333,I2C,0x11 + ACK
0.341595958333333,I2C,Setup Write to [0x3C] + ACK
0.341849416666667,I2C,0x40 + ACK
0.342094875000000,I2C,0x7E + ACK
0.342985708333333,I2C,Setup Write to [0x3C] + ACK
0.343239208333333,I2C,0x40 + ACK
0.343484666666667,I2C,0x00 + ACK   //blank byte
0.344591791666667,I2C,Setup Write to [0x3C] + ACK
0.344845250000000,I2C,0x40 + ACK
0.345090750000000,I2C,0x7E + ACK   // data for A {0x7e, 0x11, 0x11, 0x11, 0x7e} // 41 A
0.346166875000000,I2C,Setup Write to [0x3C] + ACK
0.346420375000000,I2C,0x40 + ACK
0.346665833333333,I2C,0x11 + ACK
0.347742000000000,I2C,Setup Write to [0x3C] + ACK
0.347995500000000,I2C,0x40 + ACK
0.348240958333333,I2C,0x11 + ACK
0.349317041666667,I2C,Setup Write to [0x3C] + ACK
0.349570541666667,I2C,0x40 + ACK
0.349816000000000,I2C,0x11 + ACK
0.350946375000000,I2C,Setup Write to [0x3C] + ACK
0.351199833333333,I2C,0x40 + ACK
0.351445333333333,I2C,0x7E + ACK
0.352336041666667,I2C,Setup Write to [0x3C] + ACK
0.352589458333333,I2C,0x40 + ACK
0.352834916666667,I2C,0x00 + ACK  //blank byte
